task_id,passed,generation_time,code
HumanEval/0,True,3.0527634620666504,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(1, len(numbers)):
        if numbers[i] - numbers[i-1] < threshold:
            return True
    return False"
HumanEval/1,False,5.054277420043945,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace("" "", """")
    stack = []
    result = []
    temp = """"
    for char in paren_string:
        if char == '(':
            if temp:
                stack.append(temp)
                temp = """"
            stack.append(char)
        else:
            stack.append(char)
            if len(stack) % 2 == 0:
                temp = """".join(stack[-2:])
                stack = stack[:-2]
                result.append(temp)
    return result"
HumanEval/2,True,1.3148202896118164,"def truncate_number(number: float) -> float:
    return number - int(number)"
HumanEval/3,True,2.4459598064422607,"from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False"
HumanEval/4,True,1.3011186122894287,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)"
HumanEval/5,True,1.7218525409698486,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    result = []
    for i in range(len(numbers)):
        result.append(numbers[i])
        if i < len(numbers) - 1:
            result.append(delimeter)
    return result"
HumanEval/6,True,2.6717941761016846,"from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    groups = paren_string.split()
    results = []
    for group in groups:
        max_depth = 0
        current_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
                if current_depth > max_depth:
                    max_depth = current_depth
            elif char == ')':
                current_depth -= 1
        results.append(max_depth)
    return results"
HumanEval/7,True,0.9858953952789307,"from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]"
HumanEval/8,False,1.3015871047973633,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    return (sum(numbers), 1 if not numbers else functools.reduce(lambda x, y: x * y, numbers))"
HumanEval/9,False,3.1302149295806885,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    max_num = numbers[0]
    result = [max_num]
    for num in numbers[1:]:
        if num > max_num:
            max_num = num
        result.append(max_num)
    return result"
HumanEval/10,True,1.9376506805419922,"def is_palindrome(string: str) -> bool:
    return string == string[::-1]

def make_palindrome(string: str) -> str:
    if is_palindrome(string):
        return string
    for i in range(len(string)):
        if is_palindrome(string[i:]):
            return string + string[:i][::-1]"
HumanEval/11,True,2.770925998687744,"from typing import List

def string_xor(a: str, b: str) -> str:
    return ''.join(str(int(x) ^ int(y)) for x, y in zip(a, b))"
HumanEval/12,True,1.464864730834961,"from typing import List, Optional

def longest(strings: List[str]) -> Optional[str]:
    if not strings:
        return None
    max_len = len(max(strings, key=len))
    for string in strings:
        if len(string) == max_len:
            return string"
HumanEval/13,True,1.4805738925933838,"def greatest_common_divisor(a: int, b: int) -> int:
    while b != 0:
        a, b = b, a % b
    return a

print(greatest_common_divisor(3, 5))
print(greatest_common_divisor(25, 15))"
HumanEval/14,True,0.9468083381652832,"from typing import List

def all_prefixes(string: str) -> List[str]:
    return [string[:i] for i in range(1, len(string) + 1)]"
HumanEval/15,True,1.9786128997802734,"def string_sequence(n: int) -> str:
    return ' '.join(str(i) for i in range(n+1))"
HumanEval/16,True,0.563957929611206,"def count_distinct_characters(string: str) -> int:
    return len(set(string.lower()))"
HumanEval/17,True,2.0898327827453613,"from typing import List

def parse_music(music_string: str) -> List[int]:
    notes = music_string.split()
    beats = []
    for note in notes:
        if note == 'o':
            beats.append(4)
        elif note == 'o|':
            beats.append(2)
        elif note == '.|':
            beats.append(1)
    return beats"
HumanEval/18,True,2.6284074783325195,"def how_many_times(string: str, substring: str) -> int:
    count = start = 0
    while start < len(string):
        pos = string.find(substring, start)
        if pos != -1:
            start = pos + 1
            count += 1
        else:
            break
    return count

# Test cases
print(how_many_times('', 'a'))  # 0
print(how_many_times('aaa', 'a'))  # 3
print(how_many_times('aaaa', 'aa'))  # 3"
HumanEval/19,True,3.355853796005249,"from typing import List

def sort_numbers(numbers: str) -> str:
    num_dict = {'zero':0, 'one':1, 'two':2, 'three':3, 'four':4, 'five':5, 'six':6, 'seven':7, 'eight':8, 'nine':9}
    return ' '.join(sorted(numbers.split(), key=lambda x: num_dict[x]))"
HumanEval/20,True,3.8013830184936523,"from typing import List, Tuple

def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    numbers.sort()
    min_diff = float('inf')
    result = (None, None)
    for i in range(1, len(numbers)):
        diff = numbers[i] - numbers[i - 1]
        if diff < min_diff:
            min_diff = diff
            result = (numbers[i - 1], numbers[i])
    return result"
HumanEval/21,True,1.5236320495605469,"from typing import List

def rescale_to_unit(numbers: List[float]) -> List[float]:
    min_num = min(numbers)
    max_num = max(numbers)
    return [(n - min_num) / (max_num - min_num) for n in numbers]"
HumanEval/22,True,2.165719985961914,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    return [value for value in values if isinstance(value, int)]"
HumanEval/23,True,0.486752986907959,"def strlen(string: str) -> int:
    return len(string)"
HumanEval/24,True,1.1649823188781738,"def largest_divisor(n: int) -> int:
    for i in range(n-1, 0, -1):
        if n % i == 0:
            return i
    return None

print(largest_divisor(15))"
HumanEval/25,True,1.5992956161499023,"from typing import List

def factorize(n: int) -> List[int]:
    factors = []
    divisor = 2
    while divisor <= n:
        if n % divisor == 0:
            factors.append(divisor)
            n //= divisor
        else:
            divisor += 1
    return factors"
HumanEval/26,True,1.8331966400146484,"from typing import List

def remove_duplicates(numbers: List[int]) -> List[int]:
    count_dict = {}
    for num in numbers:
        if num in count_dict:
            count_dict[num] += 1
        else:
            count_dict[num] = 1
    return [num for num in numbers if count_dict[num] == 1]"
HumanEval/27,True,2.618583917617798,"def flip_case(string: str) -> str:
    return ''.join([char.upper() if char.islower() else char.lower() for char in string])"
HumanEval/28,True,0.6701006889343262,"from typing import List

def concatenate(strings: List[str]) -> str:
    return ''.join(strings)"
HumanEval/29,True,1.0039782524108887,"from typing import List

def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    return [s for s in strings if s.startswith(prefix)]"
HumanEval/30,True,1.6723058223724365,"def get_positive(l: list):
    return [i for i in l if i > 0]

print(get_positive([-1, 2, -4, 5, 6]))
print(get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]))"
HumanEval/31,True,1.7816767692565918,"def is_prime(n):
    if n < 2:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    max_divisor = int(n**0.5) + 1
    for d in range(3, max_divisor, 2):
        if n % d == 0:
            return False
    return True"
HumanEval/32,False,6.373693943023682,"import math

def poly(xs: list, x: float):
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])"
HumanEval/33,True,3.073259115219116,"def sort_third(l: list):
    divisible_by_three = [l[i] for i in range(len(l)) if i % 3 == 0]
    divisible_by_three.sort()
    for i in range(len(l)):
        if i % 3 == 0:
            l[i] = divisible_by_three[i // 3]
    return l"
HumanEval/34,True,0.9668664932250977,"def unique(l: list):
    return sorted(set(l))

print(unique([5, 3, 5, 2, 3, 3, 9, 0, 123]))"
HumanEval/35,True,0.34431028366088867,"def max_element(l: list):
    return max(l)"
HumanEval/36,True,1.8714115619659424,"def fizz_buzz(n: int):
    count = 0
    for i in range(1, n):
        if i % 11 == 0 or i % 13 == 0:
            count += str(i).count('7')
    return count

print(fizz_buzz(50))
print(fizz_buzz(78))
print(fizz_buzz(79))"
HumanEval/37,True,2.7663543224334717,"def sort_even(l: list):
    even_indices_values = sorted([l[i] for i in range(0, len(l), 2)])
    result = l[:]
    for i in range(0, len(l), 2):
        result[i] = even_indices_values.pop(0)
    return result

# Test cases
print(sort_even([1, 2, 3]))  # [1, 2, 3]
print(sort_even([5, 6, 3, 4]))  # [3, 6, 5, 4]"
HumanEval/38,True,3.5261974334716797,"def encode_cyclic(s: str):
    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    groups = [(group[1:] + group[0]) if len(group) == 3 else group for group in groups]
    return """".join(groups)

def decode_cyclic(s: str):
    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    groups = [(group[-1] + group[:-1]) if len(group) == 3 else group for group in groups]
    return """".join(groups)"
